Location,count
Kharghar,634
Thane,451
Mira Road,414
Ulwe,381
Andheri,257
Kandivali,256
Malad,249
Borivali,222
Nala Sopara,214
Kalyan,190
Kamothe,152
Chembur,152
Goregaon,152
Powai,145
Badlapur,140
Panvel,137
Virar,135
Mulund,108
Dahisar,102
Vasai,86
Parle,79
Taloja,75
Boisar,61
Ghatkopar,58
Naigaon,55
Dombivli,50
Ambivali,46
Seawoods,45
Wadala,43
Bhayandar,40
Manpada,36
Juhu,36
Santacruz,35
Jogeshwari,35
Khopoli,35
Ambarnath,34
Kopar Khairane,34
Magathane,33
Ghansoli,33
Airoli,32
Kurla,32
Kanjurmarg,32
Karanjade,30
Dronagiri,29
Kalwa,29
Bhiwandi,28
Parel,28
Worli,28
Girgaon,25
Neral,25
Titwala,22
Dattapada,19
Matunga,18
Majiwada,15
Kolshet,15
Hiranandani,14
Palghar,11
Chandivali,10
Palava,8
Mahalaxmi,5
Jankalyan Nagar,5
Jawahar Nagar,4
Dadar,2
juhu,1
Kharodi,1
