Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
5000000,665,Airoli,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
17000000,2000,Airoli,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
12500000,1550,Airoli,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0
10500000,1370,Airoli,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
10500000,1356,Airoli,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
15000000,1680,Airoli,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8700000,980,Airoli,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1
9000000,1000,Airoli,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0
11000000,1060,Airoli,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
10500000,1095,Airoli,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1
9700000,1155,Airoli,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
10500000,1150,Airoli,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
8000000,1250,Airoli,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0
8500000,990,Airoli,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9300000,1078,Airoli,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
9900000,1150,Airoli,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1
8000000,1150,Airoli,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
9000000,1060,Airoli,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
4200000,680,Airoli,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
28000000,2470,Airoli,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1
40000000,2100,Airoli,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0
16000000,2200,Airoli,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
17000000,2235,Airoli,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1
9500000,1025,Airoli,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
9500000,950,Airoli,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
7500000,895,Airoli,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
8500000,1114,Airoli,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
13000000,1197,Airoli,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
6998999,764,Airoli,3,1,0,0,0,0,0,0,1,0,1,1,0,1,1
3250000,600,Airoli,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1
4000000,565,Airoli,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
3110000,715,Airoli,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0
7700000,1110,Ambarnath,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
7500000,1050,Ambarnath,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
9000000,1160,Ambarnath,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1
6000000,555,Ambarnath,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
6200000,650,Ambarnath,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
5000000,600,Ambarnath,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0
